order_id,transaction_type,conduct_type,notification_issue,gun_jumping_type,voluntary_disclosure,cooperation,mitigating_factors,aggravating_factors,penalty_rationale,legal_issue_summary,outcome_summary,transaction_value,delay_duration_days,date_of_closing,date_of_notification,closed_before_approval,control_exercised_before_approval,information_rights_exercised,penalty_reduced,intelligence_source_page,intelligence_source_text,intelligence_issues
CCI-1760,Amalgamation,Pre-closing consummation,"In the instant matter, the Acquirers by consummating the transaction without filing a notice contravened the provisions of Section 43A read with Section 6(2) and Section 6(2A) of the Act",Pre-closing consummation,Yes,Full,,,"l Appeal No.13578 OF 2015 (17 April 2018) Combination Registration No. C-2025/05/1283 Page 17 of 17 in the matter, the Commission decides to impose a penalty of INR 50,00,000 (INR Fifty Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 46. It is made clear that nothi","Proceedings under Section 43A of the Competition Act, 2002 in relation to notice filed under sub-section (2) of Section 6 of the Act by Manipal Health Systems Private Limited and Manipal Education and Medical Group India Private Limited","l Appeal No.13578 OF 2015 (17 April 2018) Combination Registration No. C-2025/05/1283 Page 17 of 17 in the matter, the Commission decides to impose a penalty of INR 50,00,000 (INR Fifty Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 46. It is made clear that nothi",,,,,Yes,,,No,16,"o file notice; however, the Commission can consider the conduct of the parties and circumstances of the case to arrive at an appropriate amount of penalty. 44. In the instant matter, the Acquirers by consummating the transaction without filing a notice contravened the provisions of Section 43A read with Section 6(2) and Section 6(2A) of the Act. Therefore, they cannot be exculpated of their statutory obligation thereunder. In fact,",
CCI-1688,Share Purchase,Failure to notify,"Pursuant to direction of the Commission, a show cause notice was issued to Allcargo on 9th January 2025 (SCN) vide which it was called upon to show cause, in writing, within fifteen (15) days of the receipt of the SCN as to why penalty should not be imposed upon it, in terms of Section 43A of the Act for failure to file notice for the Transaction in terms of Section 6(2) of the Act",Failure to notify,,,Mitigating factors 17.,,"facts and circumstances of the instant matter and the conduct of Allcargo during the proceedings, the Commission considers it appropriate to impose a penalty of INR 50,00,000 (Rupees Fifty Lakhs Only) on Allcargo. Allcargo is directed to pay the penalty within 60 days from the date of receipt of this order. 26. It is made","Proceedings against Allcargo Logistics Limited under Section 43A of the Competition Act, 2002 CORAM: Ms","facts and circumstances of the instant matter and the conduct of Allcargo during the proceedings, the Commission considers it appropriate to impose a penalty of INR 50,00,000 (Rupees Fifty Lakhs Only) on Allcargo. Allcargo is directed to pay the penalty within 60 days from the date of receipt of this order. 26. It is made",,,,,,,,,4,"CN) vide which it was called upon to show cause, in writing, within fifteen (15) days of the receipt of the SCN as to why penalty should not be imposed upon it, in terms of Section 43A of the Act for failure to file notice for the Transaction in terms of Section 6(2) of the Act. II. Submissions of Allcargo 9. Allcargo filed the response to the SCN on 27th February 2025 after seeking an extension of time, along with a r",
CCI-1664,Amalgamation,Failure to notify,It is to be noted that failure to give notice in accordance with sub-section (2) of Section 6 of the Act attractspenalty under Section 43A of the Act,Failure to notify,Yes,Full,,,"facts and circumstances of the case and the conduct of the parties in the matter, the Commission decides to take a lenient view and impose a nominal penalty of INR 20,00,000 (INR Twenty Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 39. It is made clear that noth","Proceedings under Section 43A of the Competition Act, 2002 (Act) in relation to notice filed under sub-section (2) of Section 6 of the Act by Manipal Health Systems Private Limited and MEMG Family Office LLP CORAM: Ms","facts and circumstances of the case and the conduct of the parties in the matter, the Commission decides to take a lenient view and impose a nominal penalty of INR 20,00,000 (INR Twenty Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 39. It is made clear that noth",14526000000.0,,,,,,,Yes,13,"i.e.,6 to 8 (both inclusive), 21 to 24 (both inclusive), 28, 30, 34 & 38 of the Competition (Amendment) Act, 2023. Combination Registration No. C-2024/05/1142 Page 13 of 14 34. It is to be noted that failure to give notice in accordance with sub-section (2) of Section 6 of the Act attractspenalty under Section 43A of the Act. Section 43A2 of the Act states: “Power to impose penalty for non-furnishing of information on",
CCI-1603,Acquisition,Failure to notify,There is no failure to give notice under Section 6(2) of the Act,Failure to notify,,Full,"mitigating factors, it is evident that the Combination did not meet the criteria of Green Channel prescribed under Schedule III of the Combination Regulations.",,"ation Regulations. 37. Thus, considering the facts and circumstances of the case and the conduct of the Acquirers, the Commission decides to impose a penalty of INR 4,00,000 (Rupees Four Lakhs Only) on the Acquirers under Section 43A of the Act and not to impose penalty under Section 44 of the Act. The Acquirers shall pay",,"ation Regulations. 37. Thus, considering the facts and circumstances of the case and the conduct of the Acquirers, the Commission decides to impose a penalty of INR 4,00,000 (Rupees Four Lakhs Only) on the Acquirers under Section 43A of the Act and not to impose penalty under Section 44 of the Act. The Acquirers shall pay",,,,,,,,,8,"xhibited certain vertical or complementary interface/ overlaps and the Combination could not be filed under the Green Channel Route. Accordingly, the Acquirers submitted the following: i. There is no failure to give notice under Section 6(2) of the Act. Further, there are no false statements or misrepresentations of any facts to the best of Acquirers’ knowledge, and there is no failure on the part of the Acquirers to d",
CCI-1565,Amalgamation,Failure to notify,It is to be noted that failure to give notice in accordance with sub-section (2) of Section 6 of the Act attracts penalty under Section 43A of the Act,Failure to notify,,Full,mitigating factors mentioned in para 34 above and the conduct of the parties whereby they disclosed the change in transaction structure voluntarily and extended cooperation and provided the material/documents as sought by the Commission.,,"facts and circumstances of the case and the conduct of the parties in the matter, the Commission decides to take a lenient view and impose a nominal penalty of INR 5,00,000 (INR Five Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 1 Civil Appeal No.13578 OF 2015",,"facts and circumstances of the case and the conduct of the parties in the matter, the Commission decides to take a lenient view and impose a nominal penalty of INR 5,00,000 (INR Five Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 1 Civil Appeal No.13578 OF 2015",,,,,,,,Yes,20,ub-section (2) of Section 6 and sub-section (2A) of Section 6 of the Act as a result of the part-consummation of the combination prior to filing Notice with the Commission. 49. It is to be noted that failure to give notice in accordance with sub-section (2) of Section 6 of the Act attracts penalty under Section 43A of the Act. Section 43A of the Act states: “Power to impose penalty for non-furnishing of information on,
CCI-1518,Share Subscription,Failure to notify,"Accordingly, the Commission issued a Show Cause Notice (SCN) under Regulation 48 of the Competition Commission of India (General) Regulations, 2009 read with Section 43A of the Act to GS on 25th May 2023 directing GS to show cause, in writing, as to why Page 4 of 13 penalty should not be imposed upon it, in terms of Section 43A of the Act for failure to file notice under Section 6(2) of the Act",Failure to notify,,,,,"ring the facts and circumstances of the instant matter, the conduct of GS during the proceedings, the Commission considers it appropriate to impose a penalty of INR 40,00,000 (Rupees Forty Lakhs Only) on GS, which is directed to pay the penalty within 60 days from the date of receipt of this order. 35. It is made clear tha","Proceedings against Goldman Sachs (India) Alternative Investment Management Private Limited under Section 43A of the Competition Act, 2002 CORAM: Ms","ring the facts and circumstances of the instant matter, the conduct of GS during the proceedings, the Commission considers it appropriate to impose a penalty of INR 40,00,000 (Rupees Forty Lakhs Only) on GS, which is directed to pay the penalty within 60 days from the date of receipt of this order. 35. It is made clear tha",,,,,,,Yes,,4,"09 read with Section 43A of the Act to GS on 25th May 2023 directing GS to show cause, in writing, as to why Page 4 of 13 penalty should not be imposed upon it, in terms of Section 43A of the Act for failure to file notice under Section 6(2) of the Act. 9. GS filed the response to the SCN on 29th June 2023 after seeking an extension of time, along with a request for an oral hearing in the matter (Response to SCN). 10.",
CCI-1520,Amalgamation,Pre-closing consummation,"Accordingly, the Commission directed to issue a Show Cause Notice (SCN) to TPL under Section 43A of the Competition Act read with Regulation 48 of the Competition Commission of India (General) Regulations, 2009, to explain, in writing, as to why there is no contravention of the provisions of the Competition Act and why penalty should not be imposed upon it in terms of Section 43A of the Competition Act for failure to file notice in terms of Section 6(2) of the Competition Act by consummating the Transaction before the expiry of period specified under Section 6 (2A) of the Competition Act",Pre-closing consummation,Yes,Full,"mitigating factors while determining extent of violation and penalty under the provisions of section 43A of the Competition Act and accordingly, the Commission decides not to impose any penalty on TPL.",,"factors while determining extent of violation and penalty under the provisions of section 43A of the Competition Act and accordingly, the Commission decides not to impose any penalty on TPL. 46. It is made clear that nothing used in this order shall be deemed to be confidential or deemed to have been granted confidentiality, as th","Proceedings against Torrent Power Limited under Section 43A of the Competition Act, 2002 CORAM: Ms","factors while determining extent of violation and penalty under the provisions of section 43A of the Competition Act and accordingly, the Commission decides not to impose any penalty on TPL. 46. It is made clear that nothing used in this order shall be deemed to be confidential or deemed to have been granted confidentiality, as th",5550000000.0,,,,Yes,,,Yes,6,"sions of the Competition Act and why penalty should not be imposed upon it in terms of Section 43A of the Competition Act for failure to file notice in terms of Section 6(2) of the Competition Act by consummating the Transaction before the expiry of period specified under Section 6 (2A) of the Competition Act. 13. Pursuant to direction of the Commission the SCN was issued to TPL vide letter dated 25th January 2024. TPL, after seeki",
CCI-1462,,Failure to notify,"As the Combination has already been consummated, the Acquirers are liable for penalty under Section 43A of the Act, which reads as under: “If any person or enterprise fails to give notice under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to one per cent of the total turnover or the assets, whichever is higher, of such a combination” 30",Failure to notify,,Full,,,"icable regulations. 32. Thus, considering the facts and circumstances of the case and the conduct of the Acquirer, the Commission decides to impose a penalty of INR 10,00,000 (Rupees Ten Lakhs Only) on the Acquirer under section 43A of the Act and not to impose penalty under section 44 of the Act. The Acquirer shall pay th",,"icable regulations. 32. Thus, considering the facts and circumstances of the case and the conduct of the Acquirer, the Commission decides to impose a penalty of INR 10,00,000 (Rupees Ten Lakhs Only) on the Acquirer under section 43A of the Act and not to impose penalty under section 44 of the Act. The Acquirer shall pay th",,,,,,,,,13,"o Combination is void ab initio. As the Combination has already been consummated, the Acquirers are liable for penalty under Section 43A of the Act, which reads as under: “If any person or enterprise fails to give notice under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to one per cent of the total turnover or the assets, whichever is higher, of such a",no recognised transaction-type pattern found
CCI-1313,Amalgamation,Failure to notify,"Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to 1% of the total turnover or the assets, whichever is higher, of such a combination",Failure to notify,,,,,"017/05/510 and C-2017/05/509 dated 27th August 2018, 11th May 2018 and 11th May 2018, respectively Page 16 of 16 considers it appropriate to impose a penalty of INR 1,00,00,000 (Indian Rupees One Crore only) on BAL (being the acquirer in Step 1 of the Transaction), which is directed to pay the penalty within 60 days from the","Proceedings against Bharti Airtel Limited and Lion Meadow Investment Limited under Section 43A of the Competition Act, 2002 CORAM: Ms","017/05/510 and C-2017/05/509 dated 27th August 2018, 11th May 2018 and 11th May 2018, respectively Page 16 of 16 considers it appropriate to impose a penalty of INR 1,00,00,000 (Indian Rupees One Crore only) on BAL (being the acquirer in Step 1 of the Transaction), which is directed to pay the penalty within 60 days from the",,,,,,,,,15,"step of the Transaction, jointly by both the Parties, with BAL being the acquirer in Step 1 and LMIL being the acquirer in Step 2. 49. Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to 1% of the total turnover or the assets, whichever is higher, of",
CCI-1312,Joint Venture,Failure to notify,"In view of the foregoing, the Commission is of the opinion that NTPC, by consummating the Concerned Transaction without filing a notice with the Commission in terms of Section 6(2) of the Act prior to acquisition, has contravened the provisions of Section 6(2) read with Section 6(2A) of the Act, and hence, is liable to a penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub- section (2) of Section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one per cent of the total turnover or assets, whichever is higher, of such a combination",Failure to notify,,Full,"mitigating factors: (i) NTPC did not conceal any transaction and on their own volition disclosed to the Commission the consummation of three transactions, i.",,"the Concerned Transaction. 25. Thus, considering the facts and circumstances of the case and the conduct of NTPC, the Commission decides to impose a penalty of INR 40,00,000 (INR Forty Lakh only) on NTPC. NTPC shall pay the penalty within 60 days from the date of receipt of this order. 26. The Secretary is directed to inf","Proceedings against NTPC Limited under Section 43A of the Competition Act, 2002 CORAM: Ms","the Concerned Transaction. 25. Thus, considering the facts and circumstances of the case and the conduct of NTPC, the Commission decides to impose a penalty of INR 40,00,000 (INR Forty Lakh only) on NTPC. NTPC shall pay the penalty within 60 days from the date of receipt of this order. 26. The Secretary is directed to inf",,,,,,,,,9,"s contravened the provisions of Section 6(2) read with Section 6(2A) of the Act, and hence, is liable to a penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub- section (2) of Section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one per cent of the total turnover or assets, whichever i",
