order_id,combination_registration_no,case_name,decision_date,provision,penalty_43a,penalty_44,penalty_45,total_penalty,penalty_source_page,penalty_source_text,conduct_type,transaction_type,sector,notification_issue,gun_jumping_type,voluntary_disclosure,cooperation,mitigating_factors,aggravating_factors,source_url,pdf_url,include_default,is_outlier,verified,notes
CCI-1760,C-2025/05/1283,Manipal Health Systems Private Limited and Manipal Education and Medical Group India Private Limited,2026-05-20,43A,5000000.0,,,5000000.0,17.0,"l Appeal No.13578 OF 2015 (17 April 2018) Combination Registration No. C-2025/05/1283 Page 17 of 17 in the matter, the Commission decides to impose a penalty of INR 50,00,000 (INR Fifty Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 46. It is made clear that nothi",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1760/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1779368902.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1688,M&A/2022/11/01(03)/CD,Allcargo Logistics Limited,2026-01-08,43A,5000000.0,,,5000000.0,11.0,"facts and circumstances of the instant matter and the conduct of Allcargo during the proceedings, the Commission considers it appropriate to impose a penalty of INR 50,00,000 (Rupees Fifty Lakhs Only) on Allcargo. Allcargo is directed to pay the penalty within 60 days from the date of receipt of this order. 26. It is made",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1688/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1768197609.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1664,C-2024/05/1142,Manipal Health Systems Private Limited and MEMG Family Office LLP,2025-07-31,43A,2000000.0,,,2000000.0,14.0,"facts and circumstances of the case and the conduct of the parties in the matter, the Commission decides to take a lenient view and impose a nominal penalty of INR 20,00,000 (INR Twenty Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 39. It is made clear that noth",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1664/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1764226941.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1603,C-2023/10/1066,CA Plume Investments and Bequest Inc.,2025-06-26,43A,400000.0,,,400000.0,17.0,"ation Regulations. 37. Thus, considering the facts and circumstances of the case and the conduct of the Acquirers, the Commission decides to impose a penalty of INR 4,00,000 (Rupees Four Lakhs Only) on the Acquirers under Section 43A of the Act and not to impose penalty under Section 44 of the Act. The Acquirers shall pay",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1603/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1751863045.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1565,C-2024/04/1139,1. Matrix Pharma Private Limited 2. Mudhra Labs Private Limited 3. Mudhra Lifesciences Private Limited 4. Mudhra Pharmacorp LLP. 5. Kotak Strategic Situations India Fund II 6. Kotak Alternate Asset Managers Limited and Other,2025-03-07,43A,500000.0,,,500000.0,21.0,"facts and circumstances of the case and the conduct of the parties in the matter, the Commission decides to take a lenient view and impose a nominal penalty of INR 5,00,000 (INR Five Lakh only) in the matter. The penalty shall be paid within 60 days from the date of receipt of this order. 1 Civil Appeal No.13578 OF 2015",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1565/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1743140244.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1518,M&A/10/2020/01/CD,Goldman Sachs (India) Alternative Investment Management Private Limited,2025-01-14,43A,4000000.0,,,4000000.0,13.0,"ring the facts and circumstances of the instant matter, the conduct of GS during the proceedings, the Commission considers it appropriate to impose a penalty of INR 40,00,000 (Rupees Forty Lakhs Only) on GS, which is directed to pay the penalty within 60 days from the date of receipt of this order. 35. It is made clear tha",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1518/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1737028842.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1520,M&A/03/2022/02/CD,Torrent Power Limited,2025-01-14,43A,0.0,,,0.0,22.0,"factors while determining extent of violation and penalty under the provisions of section 43A of the Competition Act and accordingly, the Commission decides not to impose any penalty on TPL. 46. It is made clear that nothing used in this order shall be deemed to be confidential or deemed to have been granted confidentiality, as th",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1520/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1737351411.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1462,C-2023/04/1021,India Business Excellence Fund – IV,2024-08-16,43A,1000000.0,,,1000000.0,14.0,"icable regulations. 32. Thus, considering the facts and circumstances of the case and the conduct of the Acquirer, the Commission decides to impose a penalty of INR 10,00,000 (Rupees Ten Lakhs Only) on the Acquirer under section 43A of the Act and not to impose penalty under section 44 of the Act. The Acquirer shall pay th",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1462/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1725255303.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1313,M&A/03/2021/03/CD,Bharti Airtel Limited and Lion Meadow Investment Limited,2023-08-23,43A,10000000.0,,,10000000.0,16.0,"017/05/510 and C-2017/05/509 dated 27th August 2018, 11th May 2018 and 11th May 2018, respectively Page 16 of 16 considers it appropriate to impose a penalty of INR 1,00,00,000 (Indian Rupees One Crore only) on BAL (being the acquirer in Step 1 of the Transaction), which is directed to pay the penalty within 60 days from the",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1313/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1693216865.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1312,M&A/01/2021/03/CD,NTPC Limited,2023-08-22,43A,4000000.0,,,4000000.0,10.0,"the Concerned Transaction. 25. Thus, considering the facts and circumstances of the case and the conduct of NTPC, the Commission decides to impose a penalty of INR 40,00,000 (INR Forty Lakh only) on NTPC. NTPC shall pay the penalty within 60 days from the date of receipt of this order. 26. The Secretary is directed to inf",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1312/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/order1692965196.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
